Antonyms
Arrive,Depart
Innocent,Guilty
Simple,Complicated
Arrogant,Humble
Knowledge,Ignorance
Single,Married
Attack,Defend
Liquid,Solid
Sunny,Cloudy
Blunt,Sharp
Marvelous,Terrible
Timid,Bold
Brave,Cowardly
Noisy,Quiet
Toward,Away
Cautious,Careless
Partial,Complete
Tragic,Comic
Complex,Simple
Passive,Active
Transparent,Opaque
Crazy,Sane
Permanent,Unstable
Triumph,Defeat
